point,temperature,humidity
강릉,8.5,37
강진군,9.7,39
강화,5.7,58
거제,9.4,47
거창,8.5,26
경주시,9.4,22
고산,11.6,73
고창,8.7,31
고창군,8.5,22
고흥,8.5,52
광양시,9.4,28
광주,9.6,9
구미,7.0,28
군산,7.1,26
금산,8.0,22
김해시,8.4,30
남원,8.5,28
남해,9.5,44
대관령,1.0,56
대구,7.3,24
대전,7.1,30
동두천,4.1,54
동해,8.1,31
목포,7.8,26
문경,4.9,36
밀양,8.3,24
백령도,9.4,83
보령,6.7,34
보성군,9.3,40
보은,6.9,19
봉화,5.7,25
부산,9.2,42
부안,8.7,32
부여,7.1,23
북강릉,7.9,34
북창원,5.6,33
북춘천,3.5,47
산청,8.2,31
상주,6.9,26
서귀포,14.2,69
서산,6.8,31
서울,5.5,51
성산,12.9,61
속초,7.6,45
수원,5.9,56
순창군,8.4,18
순천,9.8,27
안동,5.5,24
양산시,9.3,32
양평,4.8,45
여수,8.9,51
영광군,8.3,31
영덕,8.8,12
영월,5.9,28
영주,5.3,37
영천,8.3,17
완도,9.9,63
울릉도,7.9,49
울산,10.1,22
울진,9.7,20
원주,5.7,43
의령군,9.1,31
의성,7.9,11
이천,5.7,45
인제,4.7,50
인천,5.3,49
임실,7.1,28
장수,7.0,12
장흥,9.8,36
전주,8.6,23
정선군,3.9,45
정읍,8.0,28
제주,11.8,64
제천,4.5,38
진도군,9.0,53
진주,8.7,37
창원,8.5,33
천안,6.3,29
철원,3.4,68
청송군,6.7,23
청주,6.1,15
추풍령,6.4,19
춘천,3.6,50
충주,4.4,43
태백,3.0,27
통영,9.3,53
파주,5.0,61
포항,9.4,20
함양군,9.3,21
합천,7.3,37
해남,9.5,45
홍성,7.3,23
홍천,5.1,48
흑산도,8.4,64
